55,원익홀딩스,"8,940",50,-0.56%,"2,406,125","21,727","8,960","8,980","6,905",-16.40,-7.41
56,로보티즈,"95,100","7,200",+8.19%,"2,369,142","222,236","94,400","94,500","12,573","1,001.05",-3.31
57,PS일렉트로닉스,"4,670",160,-3.31%,"2,360,260","11,041","4,615","4,620","2,017",-49.68,-9.27
58,삼양컴텍,"18,250",890,-4.65%,"2,183,894","40,431","18,240","18,250","7,521",35.44,38.14
59,앱코,"1,125",25,-2.17%,"1,911,512","2,142","1,122","1,123",570,11.97,8.21
60,블루엠텍,"5,750",270,+4.93%,"1,871,955","10,777","5,780","5,790","1,927",-20.25,N/A
61,현대바이오,"5,980",260,+4.55%,"1,794,690","10,864","5,910","5,920","5,743",-26.46,-16.36
62,알파녹스,"1,806",56,+3.20%,"1,760,375","3,341","1,767","1,769",309,-3.79,-29.00
63,삼현,"15,140",690,+4.78%,"1,749,050","26,343","15,190","15,200","4,801",52.21,N/A
64,케이프,"9,450",60,+0.64%,"1,733,762","16,833","9,460","9,490","2,920",14.27,7.47
65,푸른기술,"8,740",250,+2.94%,"1,640,368","14,574","8,690","8,730",731,39.73,5.39
66,청담글로벌,"7,990",750,-8.58%,"1,536,729","12,520","7,960","7,970","1,682",614.62,2.85
67,디앤디파마텍,"161,500","21,300",+15.19%,"1,474,418","226,934","158,000","158,200","17,475",-46.18,-49.03
68,대창솔루션,448,1,+0.22%,"1,457,033",654,448,449,826,-6.69,-10.84
69,샌즈랩,"8,500",720,+9.25%,"1,440,014","12,850","8,520","8,530","1,298",-78.70,-5.21
70,스튜디오미르,"4,685",305,-6.11%,"1,379,560","6,722","4,780","4,785","1,533",-62.47,0.29
71,국일신동,"1,644",43,-2.55%,"1,323,181","2,445","1,656","1,663",182,-5.81,-7.58
72,우양,"5,010",10,+0.20%,"1,307,988","6,480","5,000","5,010",820,-238.57,-3.06
73,한선엔지니어링,"7,890",0,0.00%,"1,300,856","10,797","7,830","7,840","1,362",17.49,7.30
74,율호,"1,119",149,-11.75%,"1,286,499","1,530","1,144","1,153",805,-4.74,-23.33
75,케이쓰리아이,"5,180",380,+7.92%,"1,267,775","6,614","5,170","5,180",388,-7.94,N/A
76,TS트릴리온,221,10,+4.74%,"1,264,897",275,219,221,237,-4.51,-19.64
77,강스템바이오텍,"1,186",7,-0.59%,"1,247,212","1,437","1,183","1,187",665,-4.31,-17.52
78,네오이뮨텍,967,33,-3.30%,"1,232,126","1,188",970,971,956,-3.20,-70.17
79,하이젠알앤엠,"36,450","2,400",+7.05%,"1,222,193","45,029","36,400","36,450","11,259",-202.50,-1.92
80,보성파워텍,"3,830",30,+0.79%,"1,191,472","4,592","3,820","3,825","1,882",11.89,6.80
81,에프알텍,"2,220",431,+24.09%,"1,160,156","2,459","2,095","2,100",253,8.88,1.90
82,하이드로리튬,"2,515",35,-1.37%,"1,106,567","2,769","2,510","2,515","1,362",-3.06,-23.16
83,더즌,"5,120",20,+0.39%,"1,104,052","5,682","5,110","5,120","3,672",31.80,28.06
84,SGA솔루션즈,696,11,-1.56%,"1,100,033",779,699,700,594,-4.64,-20.26
85,제주반도체,"16,550",280,+1.72%,"1,091,482","18,000","16,650","16,660","5,700",48.11,11.44
86,유니테스트,"14,000","1,240",+9.72%,"1,079,803","14,872","13,910","13,920","2,959",-13.30,-19.88
87,캔버스엔,"1,113",30,-2.62%,"1,074,050","1,187","1,094","1,099",262,-3.16,-34.96
88,티엑스알로보틱스,"13,860",830,+6.37%,"985,023","14,079","13,860","13,870","2,141",107.44,14.93
89,국일제지,469,0,0.00%,"964,061",450,468,469,"5,288",-67.00,-9.98
90,팬스타엔터프라이즈,938,9,+0.97%,"961,946",899,933,934,"1,086",14.21,6.67
91,글로벌텍스프리,"4,775",60,-1.24%,"959,043","4,631","4,770","4,775","3,356",16.93,5.60
92,한국선재,"3,465",15,+0.43%,"938,084","3,286","3,470","3,475",884,693.00,-1.02
93,에스유앤피,310,59,+23.51%,"913,584",255,297,299,118,-0.14,-88.89
94,헬릭스미스,"7,080",520,+7.93%,"897,733","6,244","7,060","7,070","3,263",-40.46,-10.43
95,원텍,"10,130",320,-3.06%,"891,991","9,047","10,100","10,110","9,114",22.71,25.76
96,하이록코리아,"35,550","2,550",+7.73%,"885,447","32,115","35,650","35,700","4,371",10.53,11.38
97,파인엠텍,"11,630",190,-1.61%,"882,025","10,252","11,640","11,650","4,378",-14.83,-11.87
98,엔에프씨,"6,710",690,-9.32%,"830,696","5,863","6,750","6,770",599,28.43,-9.03
99,케이씨티,"4,215",35,-0.82%,"820,839","3,488","4,205","4,215",723,49.01,2.58
100,에스엔시스,"52,000","1,300",+2.56%,"791,343","41,927","51,400","51,500","4,907",17.45,28.30
